ticket_id,company_id,company_size_cat,industry_cat,customer_tier_cat,org_users,region_cat,past_30d_tickets,past_90d_incidents,product_area_cat,booking_channel_cat,reported_by_role_cat,customers_affected,error_rate_pct,downtime_min,payment_impact_flag,security_incident_flag,data_loss_flag,has_runbook,customer_sentiment_cat,description_length,priority_cat,customer_sentiment_missing,company_size_Medium,company_size_Small,industry_fintech,industry_gaming,industry_healthcare,industry_logistics,industry_media,industry_saas_b2b,customer_tier_Enterprise,customer_tier_Plus,region_APAC,region_EMEA,product_area_auth,product_area_billing,product_area_data_pipeline,product_area_mobile,product_area_notifications,booking_channel_email,booking_channel_phone,booking_channel_web,reported_by_role_devops,reported_by_role_finance,reported_by_role_product_manager,reported_by_role_support,customer_sentiment_neutral,customer_sentiment_positive,region_group,industry_group,region_priority_avg,industry_priority_avg,has_critical_flag,num_critical_flags,impact_score,impact_per_user,tickets_per_user,activity_ratio,incident_growth,weighted_impact_per_user,critical_x_activity,critical_x_sentiment,impact_x_region
1000000000,100015,1,7,1,126,3,2,0,3,1,1,2,5.451200538,6,0,0,0,0,2,227,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,APAC,media,1.3518822637695806,1.634230156734557,0,0,1.039571561797838,0.015748031496062992,0.015748031496062992,2.0,2.0,0.02213441939252067,0.0,0,1.4053783563137399
1000000001,100023,1,5,1,101,1,2,3,5,3,3,24,2.495538315,2,0,0,0,0,2,461,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,cat,healthcare,1.788575103782962,1.5788487282463186,0,0,1.6246206314927132,0.23529411764705882,0.0196078431372549,0.5,0.5,0.28875507592438165,0.0,0,2.905756014580021
1000000002,100012,1,4,1,71,3,3,1,6,3,2,1,3.328401754,0,0,0,0,1,3,306,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,APAC,gaming,1.3518822637695806,1.2680851063829788,0,0,0.2872440774859781,0.013888888888888888,0.041666666666666664,1.5,2.0,0.014027572295305555,0.0,0,0.38832017372614885
1000000003,100003,1,7,2,100,1,2,2,5,3,4,25,2.931905845,16,0,0,0,1,2,363,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cat,media,1.788575103782962,1.634230156734557,0,0,2.1619983359604578,0.24752475247524752,0.019801980198019802,0.6666666666666666,0.8000000000000002,0.3899599966203572,0.0,0,3.866896398119067
1000000004,100019,1,2,2,332,1,5,1,5,1,1,28,3.255221823,6,0,0,0,0,2,442,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,cat,Finance,1.788575103782962,1.448774765380605,0,0,1.9404570421801837,0.08408408408408409,0.015015015015015015,2.5,3.5000000000000004,0.11762923563916443,0.0,0,3.4706531556038014
1000000005,100022,2,3,3,596,2,3,3,1,2,1,74,0.538945288,13,0,0,0,1,2,349,2,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,EMEA,saas_b2b,1.7876941107530033,1.7671473258564125,0,0,2.520329280163102,0.12395309882747069,0.005025125628140704,0.75,1.0,0.1895773774409411,0.0,0,4.505577811305933
1000000006,100011,1,4,1,74,3,0,0,3,2,1,17,1.60158398,5,0,0,0,1,2,187,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,APAC,gaming,1.3518822637695806,1.2680851063829788,0,0,1.6984812958668822,0.22666666666666666,0.0,0.0,0.0,0.30898217304473846,0.0,0,2.2961467392268116
1000000007,100008,1,7,1,82,3,1,3,1,1,4,10,2.789413784,0,0,0,0,1,2,299,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,APAC,media,1.3518822637695806,1.634230156734557,0,0,0.9675263504713483,0.12048192771084337,0.012048192771084338,0.25,0.0,0.12149014956048194,0.0,0,1.3079817129319269
1000000008,100007,3,7,3,5757,1,6,2,5,3,4,171,0.973382072,3,0,0,0,0,2,432,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cat,media,1.788575103782962,1.634230156734557,0,0,2.4778062452773484,0.029697811740187565,0.0010420284821118443,2.0,3.2,0.03801851548336858,0.0,0,4.431742562301005
1000000009,100013,2,7,2,701,3,1,1,2,3,1,62,2.931220426,0,0,0,0,0,2,243,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,APAC,media,1.3518822637695806,1.634230156734557,0,0,1.6660475518346132,0.08831908831908832,0.0014245014245014246,0.5,0.5000000000000001,0.08909573646614814,0.0,0,2.252300135921945
1000000010,100011,1,4,1,74,3,3,2,3,2,1,4,7.888578491,0,0,0,0,1,2,237,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,APAC,gaming,1.3518822637695806,1.2680851063829788,0,0,0.6674409004466402,0.05333333333333334,0.04,1.0,1.4000000000000001,0.05459550589189334,0.0,0,0.9023015154282112
1000000011,100020,2,4,2,481,1,3,1,3,1,1,122,15.92510346,0,0,0,0,0,1,386,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,cat,gaming,1.788575103782962,1.2680851063829788,0,0,1.972649052528967,0.25311203319502074,0.006224066390041493,1.5,2.0,0.26520453914182573,0.0,0,3.528230983854359
1000000012,100007,3,7,3,5757,2,8,4,3,4,1,276,4.033129448,0,0,0,0,1,0,556,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,EMEA,media,1.7876941107530033,1.634230156734557,0,0,2.2617063908189357,0.04793331017714484,0.0013893713094824591,1.6,2.8571428571428577,0.04851327391159152,0.0,0,4.043239195119442
1000000013,100012,1,4,1,71,3,2,1,6,1,1,3,3.444910419,0,0,0,0,1,3,158,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,APAC,gaming,1.3518822637695806,1.2680851063829788,0,0,0.5648524757049562,0.041666666666666664,0.027777777777777776,1.0,1.2500000000000002,0.04209728046904166,0.0,0,0.7636140435518682
1000000014,100013,2,7,2,701,3,3,2,4,1,4,122,5.589222592,0,0,0,0,0,2,503,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,APAC,media,1.3518822637695806,1.634230156734557,0,0,1.941641409924967,0.1737891737891738,0.004273504273504274,1.0,1.4000000000000001,0.1767032129183362,0.0,0,2.6248705846781246
